state_ut,year,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_persons_under_trial_during_the_year,persons_whose_cases_were_withdrawn_or_otherwise_disposed_off_during_the_year,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted_during_the_year,persons_acquitted_during_the_year,percentage_of_persons_convicted_to_total_persons_in_whose_cases_trials_were_completed_during_the_year,persons_involved_in_the_cases_reported_for_regular_departmental_action_during_the_year,persons_involved_in_the_cases_reported_for_suitable_action_during_the_year,persons_punished_departmentally_during_the_year,persons_dismissed_from_service_during_the_year,persons_removed_from_service_during_the_year,persons_awarded_other_major_punishments_during_the_year,persons_awarded_minor_punishments_during_the_year,no_of_group_a_officers_out_of_above,no_of_group_b_officers_out_of_above,private_persons_involved_during_the_year
Jammu & Kashmir,2002,259,28,111,176,2146,2322,1,2260,61,1,60,1.6,131,0,0,0,0,0,0,0,0,3
Kerala,2002,0,28,0,278,560,838,0,758,80,45,35,0,33,23,0,0,0,0,0,163,0,178
Bihar,2002,10,24,12,22,1128,1160,14,1136,10,9,1,0,3,0,0,0,0,0,0,15,13,11
Uttarakhand,2002,5,7,6,5,8,13,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chandigarh,2002,35,6,37,4,71,75,0,70,5,1,4,0,0,0,1,0,0,0,0,3,3,0
Assam,2002,51,5,49,2,51,53,0,53,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Manipur,2002,3,3,3,3,18,21,0,21,0,0,0,0,0,0,0,0,0,0,0,6,3,4
Sikkim,2002,4,3,7,0,7,7,0,3,4,3,1,0,0,0,0,0,0,0,0,0,2,0
Goa,2002,17,2,7,12,27,39,1,33,5,0,5,5,0,0,0,0,0,0,0,1,0,0
Mizoram,2002,3,1,4,4,4,8,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Andaman & Nicobar Islands,2002,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2002,1,0,2,3,5,2,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2002,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2002,0,0,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,1,1
Puducherry,2002,8,0,5,3,8,11,0,7,4,0,4,0,0,0,0,0,0,0,0,0,1,1
Punjab,2002,219,0,0,213,1718,0,14,0,199,90,209,0,0,0,7,7,7,0,0,0,96,58
Tripura,2002,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2002,33,0,32,1,56,57,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2003,825,792,869,730,3717,4447,14,3929,504,131,373,0,5,0,3,0,0,0,3,54,81,93
Andhra Pradesh,2003,209,413,402,220,932,1152,4,1039,109,43,66,0,55,0,26,6,1,2,17,0,0,6
Haryana,2003,1097,366,1099,353,2284,2637,19,2546,72,27,45,0,0,0,0,0,0,0,0,2,24,74
Madhya Pradesh,2003,476,296,0,208,747,955,4,811,140,64,72,0,31,0,31,0,0,0,0,21,45,11
Odisha,2003,65,261,104,210,1953,2163,18,2081,64,14,50,0,0,153,0,0,77,77,35,207,89,141
Tamil Nadu,2003,525,252,586,191,358,549,0,510,39,23,16,0,27,0,0,9,1,22,6,5,84,15
Rajasthan,2003,387,214,420,385,2383,2768,0,2421,347,106,241,0,118,118,23,0,0,0,23,0,21,0
Gujarat,2003,108,212,125,195,1988,2183,8,1998,177,55,122,0,1,1,0,0,0,0,0,50,4,231
Delhi,2003,111,106,146,71,508,579,0,539,40,9,31,0,58,0,0,0,0,0,0,4,8,13
Karnataka,2003,221,93,221,43,1967,2010,562,1262,186,19,167,0,0,0,0,0,0,0,0,60,112,6
Himachal Pradesh,2003,112,70,74,55,130,185,19,123,43,8,35,0,2,14,0,0,0,0,0,7,7,19
Chhattisgarh,2003,74,62,76,60,261,321,6,210,105,49,56,0,0,0,0,0,0,0,0,1,6,0
Bihar,2003,12,61,14,59,1136,1195,1,1136,6,3,2,6,0,0,0,0,0,0,0,15,18,52
Jammu & Kashmir,2003,111,39,63,87,2260,2347,13,2264,70,5,65,0,217,0,0,0,0,0,0,0,66,8
Jharkhand,2003,28,29,29,37,175,308,0,0,8,4,0,8,98,0,0,0,0,0,0,1,12,0
Kerala,2003,0,20,0,267,758,1025,2,949,74,26,48,0,51,0,0,0,0,0,0,0,230,180
Uttar Pradesh,2003,37,14,214,62,306,368,0,366,12,2,10,0,9,0,0,0,0,0,0,0,0,38
Puducherry,2003,5,6,7,4,7,11,0,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2003,37,3,37,3,70,75,0,74,1,0,1,0,0,0,0,0,0,0,0,0,9,5
Goa,2003,7,3,4,5,33,38,1,34,3,0,3,0,0,0,0,0,0,0,0,0,0,1
Manipur,2003,3,3,3,3,21,24,0,24,0,0,0,0,0,0,0,0,0,0,0,3,1,0
Andaman & Nicobar Islands,2003,3,1,3,1,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2003,0,1,0,1,3,4,2,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Tripura,2003,3,1,1,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2003,6,1,7,0,12,12,0,10,2,0,2,0,0,0,0,0,0,0,0,2,1,0
West Bengal,2003,32,1,32,1,56,57,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2003,53,0,43,10,53,63,0,63,0,0,0,0,0,0,0,0,0,0,0,25,4,0
Daman & Diu,2003,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2003,0,0,0,0,7,7,0,7,1,1,0,100,0,0,0,0,0,0,0,1,2,2
Meghalaya,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2003,8,0,8,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2003,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2003,219,0,0,213,1718,0,14,0,199,90,209,0,0,0,7,7,7,0,0,0,96,58
Sikkim,2003,7,0,7,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2004,869,575,789,634,3929,4563,13,3815,735,193,542,0,2,0,5,0,0,1,4,60,61,77
Punjab,2004,338,528,338,371,1037,1408,109,1037,262,114,148,0,15,62,13,13,0,0,0,125,0,136
Odisha,2004,104,386,81,386,2081,2467,10,2379,78,13,65,0,132,0,13,0,1,9,3,71,106,107
Haryana,2004,1099,259,1059,272,2546,2818,2,2580,236,51,185,0,0,0,0,0,0,0,0,5,23,130
Gujarat,2004,125,247,125,247,1998,2245,18,1915,312,100,212,0,1,0,9,4,1,4,0,28,13,34
Andhra Pradesh,2004,402,240,443,199,1039,1238,0,1138,100,49,51,0,35,1,0,26,0,0,15,0,0,5
Rajasthan,2004,420,213,428,516,2491,3007,0,2610,397,108,289,0,61,61,0,0,0,1,5,0,5,0
Tamil Nadu,2004,586,144,583,147,510,657,3,609,42,26,16,0,24,0,5,2,19,28,0,0,41,5
Madhya Pradesh,2004,476,129,0,378,811,1189,6,102,161,72,89,45,12,0,0,0,0,0,0,16,25,10
Bihar,2004,14,81,12,83,1195,1278,0,0,11,10,1,0,0,0,0,0,0,0,0,45,25,37
Karnataka,2004,221,77,142,60,1262,1322,14,1043,265,41,224,0,7,0,0,0,0,0,0,6,26,18
Delhi,2004,146,63,136,72,539,612,5,558,49,22,27,0,45,0,0,0,0,0,0,0,4,9
Himachal Pradesh,2004,74,55,87,42,123,152,14,94,44,20,24,0,3,19,0,0,0,0,0,14,2,13
Uttar Pradesh,2004,214,46,159,61,366,427,2,414,11,1,10,0,0,0,0,0,0,0,0,0,1,8
Chhattisgarh,2004,63,34,40,57,200,257,1,222,34,21,13,0,0,0,0,0,0,0,0,0,10,3
Kerala,2004,0,33,0,231,949,1180,2,1097,81,23,58,0,53,3,0,0,0,0,150,0,0,121
Jammu & Kashmir,2004,63,20,59,24,2264,2288,26,2110,152,7,145,0,98,0,0,0,0,0,0,0,26,0
Nagaland,2004,0,16,16,2,5,7,0,0,0,0,0,0,258,0,1,0,0,0,0,0,11,119
Sikkim,2004,7,16,10,13,27,40,3,34,3,1,2,0,9,0,0,0,0,0,0,3,2,23
Jharkhand,2004,13,13,0,100,175,281,0,1315,1,1,0,0,13,0,0,0,0,0,0,0,0,1
Uttarakhand,2004,7,11,14,4,10,14,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2004,7,10,12,5,9,14,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2004,37,6,41,1,74,75,0,74,1,0,1,0,0,0,0,0,0,0,0,0,0,2
Tripura,2004,1,3,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,3,2,5,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Assam,2004,195,1,195,2,63,65,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Dadra & Nagar Haveli,2004,0,1,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2004,9,0,1,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2004,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
Lakshadweep,2004,0,0,0,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2004,3,0,0,3,24,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Meghalaya,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2004,8,0,8,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2004,32,0,32,0,57,57,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2005,338,748,523,529,1037,1566,35,1244,287,95,192,0,0,26,8,8,0,0,0,79,0,115
Maharashtra,2005,789,556,838,502,3815,4317,11,3495,811,195,616,0,32,0,2,0,0,0,2,57,47,66
Karnataka,2005,142,340,165,172,1043,1215,6,938,271,42,229,0,0,0,0,0,0,0,0,41,45,27
Andhra Pradesh,2005,443,300,498,245,1138,1383,2,1218,163,89,74,0,7,0,0,34,4,2,27,0,0,7
Gujarat,2005,125,239,125,239,1915,2154,5,1694,455,122,333,0,0,0,2,2,0,0,0,21,37,32
Haryana,2005,1059,236,1014,239,2580,2819,5,2525,289,80,209,0,0,0,0,0,0,0,0,8,26,106
Tamil Nadu,2005,583,224,733,74,609,683,2,627,54,27,27,0,28,1,0,5,1,17,0,5,65,13
Odisha,2005,81,219,74,219,2379,2598,6,2514,78,19,59,0,111,10,23,1,1,13,8,64,161,165
Rajasthan,2005,428,197,436,189,2610,2799,0,2482,317,96,221,0,103,103,26,0,0,1,25,0,0,0
Delhi,2005,136,102,160,78,558,636,7,573,56,22,34,0,78,0,0,0,0,0,0,6,10,9
Himachal Pradesh,2005,87,81,103,51,94,145,1,113,31,9,22,0,2,0,0,0,0,0,0,8,13,12
Bihar,2005,12,64,16,60,0,0,2,0,5,3,0,0,0,0,0,0,0,0,0,5,28,29
Jammu & Kashmir,2005,59,53,53,59,2110,2169,10,2117,42,7,35,0,32,0,0,0,0,0,0,0,57,16
Madhya Pradesh,2005,148,41,189,310,762,499,8,288,203,82,98,48,12,,13,,,1,12,2,11,4
Chhattisgarh,2005,40,39,54,25,222,247,0,215,32,15,17,0,0,0,0,0,0,0,0,0,5,6
Sikkim,2005,10,32,32,10,34,44,2,39,3,3,0,0,2,0,0,0,0,0,0,3,2,24
Kerala,2005,234,23,0,234,1097,1331,0,1237,94,33,61,0,18,38,0,0,0,0,0,69,35,0
Uttar Pradesh,2005,159,15,135,43,414,457,6,436,15,0,13,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2005,12,12,12,12,12,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chandigarh,2005,41,9,46,4,74,78,0,77,1,0,1,0,0,0,0,0,0,0,0,2,0,1
Manipur,2005,0,8,0,8,27,35,0,35,0,0,0,0,0,0,0,0,0,0,0,1,3,6
Uttarakhand,2005,14,7,19,2,13,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2005,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,5,1,5,1,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2005,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Mizoram,2005,8,1,9,0,8,8,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0
Tripura,2005,4,1,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2005,222,0,221,1,65,66,0,65,1,1,0,0,0,0,0,0,0,0,0,0,2,0
Dadra & Nagar Haveli,2005,1,0,0,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,4,20,0
West Bengal,2005,32,0,32,0,56,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2006,838,625,775,687,3495,4182,39,3588,555,134,421,0,35,0,14,0,0,4,10,52,62,63
Haryana,2006,1014,407,989,334,2525,2859,59,2655,145,33,112,0,0,0,0,0,0,0,0,14,33,84
Punjab,2006,523,329,330,423,1244,1667,23,1393,251,62,189,0,0,8,1,1,0,0,0,0,0,61
Karnataka,2006,165,318,250,183,938,1121,11,848,262,27,235,0,145,1,10,9,1,0,0,48,57,11
Andhra Pradesh,2006,498,285,533,250,1218,1468,2,1200,266,149,117,0,15,0,84,65,2,8,9,0,0,4
Rajasthan,2006,436,251,390,297,2482,3599,0,3144,455,97,358,0,134,134,42,0,2,26,14,0,0,0
Odisha,2006,74,238,35,238,2514,2752,6,2549,197,55,142,0,178,15,10,0,0,8,2,55,40,93
Gujarat,2006,125,229,125,229,1694,1923,8,1492,423,130,293,0,0,1,1,1,0,0,0,0,0,24
Tamil Nadu,2006,733,135,811,57,627,684,1,642,41,20,21,0,3,0,20,2,1,2,15,3,38,6
Bihar,2006,16,129,13,132,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,32,71,48
Delhi,2006,160,116,169,107,573,680,2,628,50,37,13,0,105,0,0,0,0,0,0,4,8,26
Himachal Pradesh,2006,103,79,112,59,113,172,8,141,23,5,18,0,0,0,2,0,0,2,0,1,4,7
Uttar Pradesh,2006,135,78,152,61,436,497,0,476,21,0,21,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2006,54,50,70,34,215,249,0,228,21,6,15,0,0,0,0,0,0,0,0,0,8,4
Jammu & Kashmir,2006,53,39,39,53,2117,2170,1,2086,83,8,75,0,25,0,0,0,0,0,0,0,0,7
Kerala,2006,0,29,0,186,1237,1423,1,1380,42,26,16,0,18,4,0,0,0,0,0,0,0,125
Sikkim,2006,32,25,47,10,39,49,3,38,8,3,5,0,4,2,0,0,0,0,0,4,2,30
Chandigarh,2006,46,17,51,10,77,87,1,84,2,0,2,0,0,0,0,0,0,0,0,0,0,3
Jharkhand,2006,16,16,16,12,361,16,0,361,1,1,0,100,12,12,0,0,0,0,0,0,5,0
Uttarakhand,2006,19,11,27,3,15,18,0,18,0,0,0,0,1,0,0,0,0,0,0,0,2,0
Andaman & Nicobar Islands,2006,7,6,8,5,7,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2006,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Nagaland,2006,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2006,4,2,6,0,31,31,0,29,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2006,12,2,10,3,25,28,0,24,4,1,3,0,0,0,0,0,0,0,0,0,2,0
Tripura,2006,5,2,4,3,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2006,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Arunachal Pradesh,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2006,11,0,11,0,62,76,0,73,3,3,0,100,0,0,0,0,0,0,0,2,0,0
Dadra & Nagar Haveli,2006,0,0,0,0,3,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2006,1,0,0,1,8,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2006,0,0,0,179,884,1063,16,801,246,144,102,58.5,2,0,20,0,0,10,10,0,2,22
Manipur,2006,8,0,8,0,35,35,0,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0
West Bengal,2006,32,0,32,0,56,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2007,13,950,20,943,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,246,150,215
Maharashtra,2007,775,870,1188,453,3588,4041,21,3553,467,97,370,0,10,0,3,1,0,1,1,88,72,73
Punjab,2007,330,296,212,329,1393,1722,49,1450,223,70,153,0,0,3,0,9,0,0,0,0,0,88
Andhra Pradesh,2007,533,292,629,196,1200,1396,7,1091,298,188,110,0,90,0,0,14,2,45,2,0,0,5
Haryana,2007,989,285,940,307,2655,2962,26,2532,404,42,362,0,0,0,0,0,0,0,0,7,17,32
Karnataka,2007,250,284,181,252,848,1100,56,873,171,35,136,0,1,20,0,0,1,0,0,31,58,14
Odisha,2007,35,239,26,232,2549,2781,16,2641,124,46,78,0,62,27,0,1,2,3,4,93,90,193
Gujarat,2007,125,225,120,120,1492,1612,90,1028,494,167,327,87,5,9,4,0,0,0,4,27,11,19
Rajasthan,2007,390,223,377,548,2827,3692,0,3231,461,169,292,0,292,292,32,0,0,13,19,7,0,0
Tamil Nadu,2007,811,223,142,784,642,1426,46,1292,88,43,45,0,396,171,65,13,3,24,25,12,148,131
Himachal Pradesh,2007,186,177,184,119,426,545,26,417,105,1,88,0,5,6,0,0,0,0,0,10,46,105
Jammu & Kashmir,2007,39,131,0,160,2086,2246,26,2172,48,5,43,0,10,0,0,0,0,0,0,22,22,18
Uttar Pradesh,2007,152,130,168,115,476,591,0,576,15,2,13,0,0,0,0,0,0,0,0,0,0,0
Delhi,2007,169,64,162,71,628,699,2,611,86,44,42,0,53,0,0,0,0,0,0,2,1,12
Chandigarh,2007,51,29,67,13,84,97,2,87,8,3,5,0,0,0,0,0,0,0,0,0,0,19
Sikkim,2007,47,23,45,14,38,52,0,45,7,5,2,0,5,0,0,0,0,0,0,5,3,28
Chhattisgarh,2007,70,19,77,7,228,235,0,219,16,4,12,0,0,0,0,0,0,0,0,0,3,2
Puducherry,2007,10,18,28,0,24,24,0,18,6,6,0,0,0,0,0,0,0,0,0,0,2,0
Jharkhand,2007,15,15,15,18,377,15,0,392,0,0,0,0,19,19,0,0,0,0,0,0,12,0
Nagaland,2007,14,14,14,4,10,14,0,14,0,0,0,0,4,1,1,0,0,1,0,0,1,1
Kerala,2007,0,7,0,396,1380,1776,27,1651,98,62,36,0,16,31,0,0,0,0,0,4,39,141
Uttarakhand,2007,27,5,19,13,18,31,0,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Manipur,2007,8,4,8,4,35,39,0,39,0,0,0,0,0,0,0,0,0,0,0,3,0,0
West Bengal,2007,2,4,3,1,36,37,0,9,28,0,28,0,5,0,0,0,0,0,0,0,0,0
Meghalaya,2007,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
Goa,2007,6,1,7,0,29,29,0,23,6,0,6,0,0,0,0,0,0,0,0,0,0,1
Tripura,2007,4,1,4,1,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
