state_ut,year,cases_pending_investigation_from_previous_year,cases_registered,total_cases_for_investigation,no_of_cases_investigated,cases_pending_departmental_sanction_for_prosecution,cases_pending_investigation_at_the_end_of_the_year,cases_pending_trial_from_the_previous_year,total_cases_for_trial,cases_convicted,total_amount_of_fine_imposed_in_rs,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_under_trial_at_the_beginning_of_the_year,persons_convicted_during_the_year,persons_punished_departmentally_during_the_year,no_of_group_a_officers_out_of_above,no_of_group_b_officers_out_of_above,private_persons_involved_during_the_year
Sikkim,2001.0,34.0,25.0,59.0,59.0,0.0,33.0,17.0,21.0,3.0,8000.0,4,4,4,6,3,0,0,0,0
Assam,2001.0,31.0,17.0,48.0,48.0,16.0,39.0,22.0,30.0,0.0,0.0,27,3,5,27,0,0,0,8,0
Bihar,2001.0,232.0,17.0,249.0,249.0,36.0,171.0,326.0,343.0,3.0,0.0,27,26,10,1097,8,0,8,17,23
Goa,2001.0,4.0,10.0,14.0,14.0,0.0,11.0,18.0,21.0,0.0,0.0,8,14,17,24,0,0,1,0,9
Chandigarh,2001.0,7.0,8.0,15.0,15.0,0.0,11.0,10.0,13.0,0.0,0.0,9,43,35,60,0,0,2,0,33
Uttarakhand,2001.0,13.0,4.0,17.0,13.0,0.0,13.0,6.0,8.0,1.0,0.0,5,4,5,8,0,1,0,0,0
Puducherry,2001.0,6.0,3.0,9.0,9.0,0.0,7.0,5.0,7.0,0.0,0.0,4,5,8,7,0,0,1,0,6
West Bengal,2001.0,25.0,3.0,28.0,28.0,0.0,26.0,23.0,25.0,0.0,40000.0,33,4,33,53,1,0,2,0,0
Mizoram,2001.0,0.0,2.0,2.0,2.0,1.0,2.0,9.0,9.0,0.0,0.0,4,1,1,2,0,0,0,0,0
Tripura,2001.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0,3,3,0,0,0,0,0,0
Lakshadweep,2001.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0,0,0,6,0,0,0,0,0
Manipur,2001.0,12.0,1.0,13.0,13.0,0.0,9.0,11.0,11.0,0.0,0.0,4,6,3,16,0,0,2,0,0
Meghalaya,2001.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Nagaland,2001.0,3.0,1.0,4.0,4.0,2.0,4.0,0.0,2.0,0.0,0.0,0,19,0,0,0,1,8,2,1
Andaman & Nicobar Islands,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0
Arunachal Pradesh,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2001.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0,2,0,2,4,0,0,0,0,0
Daman & Diu,2001.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8,0,8,0,0,0,0,0,0
Maharashtra,2002.0,491.0,478.0,969.0,969.0,198.0,509.0,2503.0,2943.0,88.0,328350.0,803,651,825,3564,105,4,38,50,81
Rajasthan,2002.0,1128.0,444.0,1572.0,1572.0,232.0,1191.0,650.0,917.0,67.0,567000.0,196,216,294,2109,77,30,0,11,0
Andhra Pradesh,2002.0,302.0,345.0,647.0,287.0,24.0,353.0,630.0,952.0,47.0,62900.0,154,384,209,586,47,0,126,0,5
Odisha,2002.0,317.0,283.0,600.0,600.0,48.0,322.0,1731.0,1903.0,7.0,1901.0,75,300,65,1789,7,0,0,0,0
Punjab,2002.0,341.0,282.0,623.0,226.0,103.0,348.0,874.0,0.0,80.0,213000.0,219,0,0,1718,90,7,0,96,58
Madhya Pradesh,2002.0,234.0,271.0,505.0,505.0,185.0,270.0,567.0,763.0,65.0,1925492.0,693,226,0,997,74,2,31,67,24
Haryana,2002.0,102.0,268.0,370.0,199.0,23.0,262.0,343.0,442.0,8.0,78000.0,906,337,1097,2238,10,0,24,37,315
Gujarat,2002.0,91.0,178.0,269.0,183.0,76.0,123.0,1512.0,1685.0,30.0,207200.0,44,228,108,1998,39,0,38,5,179
Karnataka,2002.0,200.0,151.0,351.0,351.0,81.0,140.0,1050.0,1179.0,8.0,16500.0,425,175,221,1062,9,0,54,107,14
Kerala,2002.0,474.0,145.0,619.0,619.0,13.0,497.0,247.0,328.0,31.0,1716481.0,0,28,0,560,45,0,163,0,178
Uttar Pradesh,2002.0,155.0,137.0,292.0,130.0,135.0,93.0,193.0,249.0,1.0,0.0,41,36,37,277,1,0,0,0,1
Tamil Nadu,2002.0,130.0,97.0,227.0,227.0,0.0,116.0,137.0,151.0,30.0,124200.0,448,249,525,274,72,7,5,69,14
Jharkhand,2002.0,65.0,78.0,143.0,65.0,21.0,65.0,80.0,164.0,0.0,0.0,26,84,84,26,0,0,1,9,6
Delhi,2002.0,84.0,56.0,140.0,58.0,12.0,81.0,338.0,391.0,12.0,87200.0,103,94,111,477,14,0,3,2,8
Jammu & Kashmir,2002.0,317.0,56.0,373.0,122.0,41.0,290.0,394.0,437.0,1.0,2000.0,259,28,111,2146,1,0,0,0,3
Chhattisgarh,2002.0,108.0,55.0,163.0,157.0,43.0,107.0,159.0,211.0,32.0,347000.0,74,62,76,261,49,0,1,6,0
Himachal Pradesh,2002.0,149.0,33.0,182.0,182.0,38.0,150.0,84.0,107.0,6.0,66000.0,105,66,112,111,9,0,5,18,23
Sikkim,2002.0,33.0,21.0,54.0,54.0,0.0,42.0,15.0,20.0,3.0,5000.0,4,3,7,7,3,0,0,2,0
Bihar,2002.0,171.0,12.0,183.0,183.0,35.0,174.0,338.0,346.0,4.0,6000.0,10,24,12,1128,9,0,15,13,11
Assam,2002.0,39.0,11.0,50.0,50.0,17.0,39.0,29.0,31.0,0.0,0.0,51,5,49,51,0,0,7,0,0
Goa,2002.0,11.0,10.0,21.0,21.0,0.0,16.0,20.0,25.0,0.0,0.0,17,2,7,27,0,0,1,0,0
Manipur,2002.0,9.0,8.0,17.0,17.0,0.0,16.0,11.0,12.0,0.0,0.0,3,3,3,18,0,0,6,3,4
Uttarakhand,2002.0,13.0,5.0,18.0,6.0,0.0,12.0,6.0,11.0,0.0,0.0,5,7,6,8,0,0,0,1,0
Chandigarh,2002.0,11.0,3.0,14.0,14.0,0.0,10.0,12.0,16.0,1.0,0.0,35,6,37,71,1,1,3,3,0
Puducherry,2002.0,7.0,3.0,10.0,10.0,1.0,9.0,7.0,8.0,0.0,0.0,8,0,5,8,0,0,0,1,1
Daman & Diu,2002.0,2.0,1.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,9,0,9,0,0,0,0,0,0
Mizoram,2002.0,2.0,1.0,3.0,3.0,0.0,0.0,4.0,7.0,0.0,0.0,3,1,4,4,0,0,1,0,0
Andaman & Nicobar Islands,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0
Arunachal Pradesh,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0
Dadra & Nagar Haveli,2002.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,1,0,2,5,0,0,0,0,0
Lakshadweep,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Meghalaya,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Nagaland,2002.0,4.0,0.0,4.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,5,1,1
Tripura,2002.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,3,0,0,0,0,0,0
West Bengal,2002.0,26.0,0.0,26.0,26.0,0.0,25.0,24.0,25.0,0.0,0.0,33,0,32,56,0,0,0,0,0
Maharashtra,2003.0,509.0,521.0,1030.0,1030.0,237.0,520.0,2602.0,3081.0,113.0,404600.0,825,792,869,3717,131,3,54,81,93
Rajasthan,2003.0,1155.0,336.0,1491.0,1491.0,350.0,1210.0,837.0,1065.0,48.0,439200.0,387,214,420,2383,106,23,0,21,0
Andhra Pradesh,2003.0,353.0,328.0,681.0,278.0,37.0,389.0,864.0,1045.0,41.0,131000.0,209,413,402,932,43,26,0,0,6
Odisha,2003.0,322.0,302.0,624.0,624.0,60.0,298.0,280.0,2098.0,14.0,25750.0,65,261,104,1953,14,0,207,89,141
Punjab,2003.0,341.0,282.0,623.0,226.0,103.0,348.0,874.0,0.0,80.0,213000.0,219,0,0,1718,90,7,0,96,58
Kerala,2003.0,497.0,210.0,707.0,707.0,23.0,4.0,274.0,380.0,22.0,1144500.0,0,20,0,758,26,0,0,230,180
Madhya Pradesh,2003.0,270.0,210.0,480.0,480.0,191.0,265.0,634.0,809.0,42.0,0.0,476,296,0,747,64,31,21,45,11
Gujarat,2003.0,123.0,190.0,313.0,216.0,28.0,95.0,1580.0,1719.0,47.0,313750.0,108,212,125,1988,55,0,50,4,231
Haryana,2003.0,262.0,152.0,414.0,285.0,34.0,228.0,382.0,562.0,18.0,100400.0,1097,366,1099,2284,27,0,2,24,74
Tamil Nadu,2003.0,116.0,152.0,268.0,268.0,11.0,228.0,115.0,140.0,11.0,43600.0,525,252,586,358,23,0,5,84,15
Karnataka,2003.0,140.0,93.0,233.0,233.0,34.0,139.0,1051.0,1094.0,19.0,312664.0,221,93,221,1967,19,0,60,112,6
Delhi,2003.0,81.0,77.0,158.0,46.0,10.0,112.0,348.0,394.0,8.0,80000.0,111,106,146,508,9,0,4,8,13
Jammu & Kashmir,2003.0,290.0,73.0,363.0,107.0,29.0,298.0,415.0,431.0,4.0,10000.0,111,39,63,2260,5,0,0,66,8
Himachal Pradesh,2003.0,150.0,55.0,205.0,205.0,16.0,152.0,88.0,115.0,4.0,30000.0,112,70,74,130,8,0,7,7,19
Jharkhand,2003.0,80.0,36.0,116.0,29.0,33.0,80.0,217.0,116.0,4.0,11000.0,28,29,29,175,4,0,1,12,0
Assam,2003.0,48.0,26.0,74.0,74.0,13.0,48.0,31.0,38.0,0.0,0.0,53,0,43,53,0,0,25,4,0
Bihar,2003.0,174.0,22.0,196.0,196.0,30.0,179.0,0.0,0.0,0.0,0.0,12,61,14,1136,3,0,15,18,52
Chhattisgarh,2003.0,107.0,15.0,122.0,101.0,38.0,92.0,148.0,176.0,23.0,123700.0,74,62,76,261,49,0,1,6,0
Sikkim,2003.0,42.0,7.0,49.0,49.0,2.0,42.0,16.0,23.0,5.0,16200.0,7,0,7,3,0,0,0,0,0
Chandigarh,2003.0,10.0,6.0,16.0,16.0,0.0,13.0,13.0,16.0,0.0,0.0,37,3,37,70,0,0,0,9,5
Goa,2003.0,16.0,5.0,21.0,21.0,0.0,18.0,21.0,24.0,0.0,0.0,7,3,4,33,0,0,0,0,1
Andaman & Nicobar Islands,2003.0,7.0,3.0,10.0,9.0,0.0,7.0,2.0,3.0,0.0,0.0,3,1,3,3,0,0,0,0,0
Arunachal Pradesh,2003.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Uttarakhand,2003.0,12.0,3.0,15.0,0.0,0.0,15.0,11.0,11.0,0.0,0.0,6,1,7,12,0,0,2,1,0
Tripura,2003.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,3,1,1,0,0,0,0,0,0
Dadra & Nagar Haveli,2003.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0,1,0,3,0,1,0,1,0
Lakshadweep,2003.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,3000.0,0,0,0,7,1,0,1,2,2
Manipur,2003.0,16.0,1.0,17.0,17.0,0.0,0.0,11.0,14.0,0.0,0.0,3,3,3,21,0,0,3,1,0
Puducherry,2003.0,9.0,1.0,10.0,10.0,1.0,9.0,5.0,6.0,0.0,0.0,5,6,7,7,0,0,0,0,0
West Bengal,2003.0,25.0,1.0,26.0,26.0,0.0,25.0,24.0,25.0,0.0,0.0,32,1,32,56,0,0,0,0,0
Daman & Diu,2003.0,3.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,9,0,9,0,0,0,0,0,0
Meghalaya,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Mizoram,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,8,0,8,8,0,0,0,0,0
Nagaland,2003.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,13,0,0,0,0,0
Maharashtra,2004.0,520.0,446.0,966.0,966.0,206.0,471.0,2680.0,3140.0,168.0,658900.0,869,575,789,3929,193,5,60,61,77
Punjab,2004.0,476.0,384.0,860.0,343.0,136.0,476.0,936.0,1226.0,100.0,1035500.0,338,528,338,1037,114,13,125,0,136
Rajasthan,2004.0,1210.0,294.0,1504.0,1504.0,299.0,1051.0,922.0,1178.0,46.0,825000.0,420,213,428,2491,108,0,0,5,0
Odisha,2004.0,298.0,272.0,570.0,570.0,33.0,410.0,2021.0,2213.0,12.0,20000.0,104,386,81,2081,13,13,71,106,107
Andhra Pradesh,2004.0,389.0,195.0,584.0,305.0,26.0,279.0,943.0,1115.0,52.0,129800.0,402,240,443,1039,49,0,0,0,5
Gujarat,2004.0,95.0,195.0,290.0,173.0,53.0,135.0,1583.0,1742.0,79.0,619000.0,125,247,125,1998,100,9,28,13,34
Kerala,2004.0,552.0,146.0,698.0,698.0,13.0,520.0,322.0,420.0,14.0,669000.0,0,33,0,949,23,0,0,0,121
Madhya Pradesh,2004.0,265.0,111.0,376.0,376.0,186.0,107.0,508.0,791.0,65.0,2392988.0,476,129,0,811,72,0,16,25,10
Haryana,2004.0,228.0,108.0,336.0,246.0,16.0,199.0,496.0,619.0,22.0,163800.0,1099,259,1059,2546,51,0,5,23,130
Tamil Nadu,2004.0,228.0,93.0,321.0,321.0,10.0,264.0,124.0,138.0,2.0,116000.0,586,144,583,510,26,5,0,41,5
Karnataka,2004.0,139.0,77.0,216.0,216.0,82.0,142.0,888.0,948.0,41.0,318500.0,221,77,142,1262,41,0,6,26,18
Delhi,2004.0,112.0,62.0,174.0,30.0,19.0,144.0,360.0,390.0,18.0,123000.0,146,63,136,539,22,0,0,4,9
Bihar,2004.0,179.0,31.0,210.0,210.0,31.0,219.0,0.0,0.0,6.0,22500.0,14,81,12,1195,10,0,45,25,37
Jammu & Kashmir,2004.0,298.0,27.0,325.0,112.0,17.0,213.0,377.0,384.0,4.0,63000.0,63,20,59,2264,7,0,0,26,0
Jharkhand,2004.0,92.0,26.0,118.0,31.0,38.0,92.0,31.0,1.0,2.0,0.0,13,13,0,175,1,0,0,0,1
Uttar Pradesh,2004.0,23.0,26.0,49.0,49.0,48.0,56.0,278.0,305.0,1.0,0.0,214,46,159,366,1,0,0,1,8
Himachal Pradesh,2004.0,152.0,20.0,172.0,172.0,19.0,133.0,82.0,110.0,11.0,41000.0,74,55,87,123,20,0,14,2,13
Assam,2004.0,54.0,17.0,71.0,71.0,17.0,54.0,2.0,0.0,0.0,0.0,195,1,195,63,0,0,10,0,0
Chhattisgarh,2004.0,92.0,16.0,108.0,92.0,37.0,82.0,143.0,166.0,18.0,56200.0,63,34,40,200,21,0,0,10,3
Sikkim,2004.0,42.0,12.0,54.0,54.0,0.0,29.0,19.0,27.0,1.0,35000.0,7,16,10,27,1,0,3,2,23
Uttarakhand,2004.0,15.0,11.0,26.0,4.0,0.0,12.0,10.0,14.0,0.0,0.0,7,11,14,10,0,0,0,0,0
Chandigarh,2004.0,13.0,5.0,18.0,18.0,0.0,15.0,15.0,16.0,0.0,0.0,37,6,41,74,0,0,0,0,2
Andaman & Nicobar Islands,2004.0,7.0,3.0,10.0,10.0,0.0,10.0,3.0,3.0,0.0,0.0,3,2,5,3,0,0,0,1,0
Nagaland,2004.0,4.0,2.0,6.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0,16,16,5,0,1,0,11,119
Tripura,2004.0,2.0,2.0,4.0,4.0,0.0,4.0,2.0,2.0,0.0,0.0,1,3,4,1,0,0,0,0,0
Dadra & Nagar Haveli,2004.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0,1,1,2,0,0,0,0,0
Goa,2004.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Manipur,2004.0,14.0,1.0,15.0,15.0,0.0,12.0,2.0,0.0,0.0,0.0,3,0,0,24,0,0,0,1,0
Puducherry,2004.0,9.0,1.0,10.0,10.0,0.0,9.0,5.0,7.0,0.0,0.0,7,10,12,9,0,0,0,0,0
Arunachal Pradesh,2004.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Daman & Diu,2004.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,9,0,1,0,0,0,0,0,0
Lakshadweep,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7,0,0,0,0,0
Meghalaya,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Mizoram,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8,0,8,8,0,0,0,0,0
West Bengal,2004.0,25.0,0.0,25.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,32,0,32,57,0,0,0,0,0
Punjab,2005.0,476.0,449.0,925.0,444.0,166.0,522.0,994.0,1334.0,80.0,739000.0,338,748,523,1037,95,8,79,0,115
Maharashtra,2005.0,471.0,437.0,908.0,908.0,213.0,536.0,2561.0,2929.0,159.0,696800.0,789,556,838,3815,195,2,57,47,66
Karnataka,2005.0,142.0,313.0,455.0,455.0,81.0,196.0,683.0,855.0,42.0,1815431.0,142,340,165,1043,42,0,41,45,27
Rajasthan,2005.0,1051.0,311.0,1362.0,1362.0,247.0,1006.0,1031.0,1273.0,39.0,892500.0,428,197,436,2610,96,26,0,0,0
Odisha,2005.0,410.0,291.0,701.0,701.0,48.0,342.0,2152.0,2334.0,19.0,20000.0,81,219,74,2379,19,23,64,161,165
Andhra Pradesh,2005.0,279.0,251.0,530.0,300.0,43.0,232.0,1023.0,1255.0,84.0,965767.0,443,300,498,1138,89,0,0,0,7
Gujarat,2005.0,135.0,205.0,340.0,177.0,33.0,196.0,1503.0,1644.0,109.0,571770.0,125,239,125,1915,122,2,21,37,32
Haryana,2005.0,199.0,151.0,350.0,243.0,26.0,214.0,529.0,643.0,29.0,254000.0,1059,236,1014,2580,80,0,8,26,106
Kerala,2005.0,520.0,143.0,663.0,663.0,17.0,531.0,379.0,496.0,27.0,1129000.0,234,23,0,1097,33,0,69,35,0
Tamil Nadu,2005.0,264.0,128.0,392.0,392.0,54.0,262.0,134.0,153.0,5.0,28000.0,583,224,733,609,27,0,5,65,13
Jammu & Kashmir,2005.0,213.0,65.0,278.0,127.0,33.0,151.0,317.0,361.0,9.0,771000.0,59,53,53,2110,7,0,0,57,16
Delhi,2005.0,144.0,61.0,205.0,53.0,21.0,155.0,347.0,397.0,18.0,198500.0,136,102,160,558,22,0,6,10,9
Himachal Pradesh,2005.0,133.0,48.0,181.0,181.0,20.0,133.0,80.0,119.0,5.0,82000.0,87,81,103,94,9,0,8,13,12
Uttar Pradesh,2005.0,56.0,41.0,97.0,97.0,34.0,74.0,296.0,333.0,4.0,0.0,159,15,135,414,0,0,0,0,0
Chhattisgarh,2005.0,82.0,37.0,119.0,105.0,37.0,57.0,137.0,158.0,15.0,50000.0,40,39,54,222,15,0,0,5,6
Madhya Pradesh,2005.0,107.0,29.0,136.0,136.0,86.0,0.0,636.0,769.0,85.0,360900.0,148,41,189,762,82,13,2,11,4
Bihar,2005.0,319.0,21.0,340.0,340.0,0.0,227.0,347.0,377.0,3.0,0.0,12,64,16,0,3,0,5,28,29
Sikkim,2005.0,29.0,16.0,45.0,45.0,1.0,33.0,22.0,29.0,3.0,7000.0,10,32,32,34,3,0,3,2,24
Assam,2005.0,69.0,9.0,78.0,78.0,22.0,69.0,40.0,41.0,1.0,0.0,222,0,221,65,1,0,0,2,0
Uttarakhand,2005.0,12.0,8.0,20.0,2.0,0.0,18.0,13.0,15.0,0.0,0.0,14,7,19,13,0,0,0,0,0
Chandigarh,2005.0,15.0,7.0,22.0,22.0,0.0,18.0,15.0,19.0,0.0,0.0,41,9,46,74,0,0,2,0,1
Manipur,2005.0,12.0,3.0,15.0,15.0,0.0,9.0,15.0,17.0,0.0,0.0,0,8,0,27,0,0,1,3,6
Puducherry,2005.0,8.0,3.0,11.0,11.0,0.0,5.0,6.0,11.0,0.0,0.0,12,12,12,12,0,0,0,1,0
Andaman & Nicobar Islands,2005.0,10.0,2.0,12.0,3.0,3.0,9.0,3.0,4.0,0.0,0.0,5,1,5,5,0,0,0,0,0
Goa,2005.0,1.0,2.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,1,0
Meghalaya,2005.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0,2,2,0,0,0,0,0,0
Mizoram,2005.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,8,1,9,8,0,0,1,0,0
Nagaland,2005.0,6.0,1.0,7.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7,4,20,0
Tripura,2005.0,4.0,1.0,5.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,4,1,5,1,0,0,0,0,0
Arunachal Pradesh,2005.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2005.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1,0,0,2,0,0,0,0,0
Daman & Diu,2005.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0
Lakshadweep,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
West Bengal,2005.0,25.0,0.0,25.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,32,0,32,56,0,0,0,0,0
Maharashtra,2006.0,536.0,476.0,1012.0,1012.0,176.0,682.0,2301.0,2635.0,102.0,2333300.0,838,625,775,3495,134,14,52,62,63
Rajasthan,2006.0,1006.0,377.0,1383.0,1383.0,245.0,873.0,1157.0,1508.0,44.0,227400.0,436,251,390,2482,97,42,0,0,0
Punjab,2006.0,522.0,312.0,834.0,358.0,174.0,476.0,1113.0,1378.0,50.0,233900.0,523,329,330,1244,62,1,0,0,61
Haryana,2006.0,214.0,307.0,521.0,355.0,25.0,325.0,532.0,732.0,26.0,152700.0,1014,407,989,2525,33,0,14,33,84
Karnataka,2006.0,196.0,288.0,484.0,484.0,121.0,276.0,578.0,736.0,22.0,204400.0,165,318,250,938,27,10,48,57,11
Odisha,2006.0,342.0,288.0,630.0,630.0,63.0,384.0,2263.0,2446.0,40.0,265500.0,74,238,35,2514,55,10,55,40,93
Andhra Pradesh,2006.0,232.0,234.0,466.0,352.0,32.0,116.0,1099.0,1322.0,148.0,529050.0,498,285,533,1218,149,84,0,0,4
Gujarat,2006.0,196.0,204.0,400.0,204.0,59.0,175.0,1315.0,1494.0,88.0,1103600.0,125,229,125,1694,130,1,0,0,24
Kerala,2006.0,531.0,122.0,653.0,653.0,20.0,521.0,441.0,516.0,25.0,1577000.0,0,29,0,1237,26,0,0,0,125
Tamil Nadu,2006.0,262.0,109.0,371.0,371.0,12.0,216.0,148.0,157.0,1.0,6000.0,733,135,811,627,20,20,3,38,6
Bihar,2006.0,227.0,104.0,331.0,331.0,60.0,220.0,372.0,443.0,1.0,0.0,16,129,13,0,1,0,32,71,48
Uttar Pradesh,2006.0,74.0,100.0,174.0,174.0,35.0,115.0,320.0,379.0,0.0,0.0,135,78,152,436,0,0,0,0,0
Jammu & Kashmir,2006.0,151.0,84.0,235.0,116.0,42.0,119.0,324.0,417.0,8.0,4025000.0,53,39,39,2117,8,0,0,0,7
Delhi,2006.0,155.0,82.0,237.0,83.0,25.0,152.0,350.0,432.0,29.0,491000.0,160,116,169,573,37,0,4,8,26
